,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Death_Rate,Population_15_64_rate,Population_65_above,Cotisation sociale,Life_expectancy_in_years,gov_health_exp_as_perc_of_gdp,undernourished_population_rate,population_rate_with_water_access,mortality_cvd_crd_cancer_diabete_30_70,uhc_service_coverage,population_growth_rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44
41,Ecuador,ECU,2000,25.402,6323386,6303121,12626507,21.1,0.687,18.79918179,60.299,5.007,7540817.0,609076.0,,72.839,0.96102405,,82.307372343955,12.8,51.0,1.71308817043169,42.881,1451.53088517998,46.450385451905525
42,Spain,ESP,2000,9.8,19870967,20696897,40567864,36.4,0.825,13.6642286,76.262,8.9,27827997.0,6781703.0,,78.9658536585366,4.91888905,,99.9999985042948,13.7,69.0,0.447137014535835,32.29,14749.6874248766,44.91400039258023
43,Estonia,EST,2000,9.4,651122,745863,1396985,37.0,0.787,8.43278366,69.368,13.2,941321.0,209313.0,,70.4170731707317,3.92763996,,97.3621551958531,27.0,60.0,0.483707161729931,46.478,4070.60902410208,39.65728306997137
44,Ethiopia,ETH,2000,44.501,33605361,33426506,67031867,15.1,0.287,30.87949696,14.74,14.758,33380131.0,1765828.0,,50.538,1.79954576,,18.6823027003951,27.3,13.0,2.95880518919236,67.74,122.961659681414,40.4729049455543
45,Finland,FIN,2000,11.0,2526195,2650014,5176209,38.4,0.891,7.505004878,82.183,9.5,3464352.0,772231.0,,77.4658536585366,5.37109375,,100.0,14.7,75.0,0.2076065154133,49.415,24345.9148217032,38.47928727923702
46,Fiji,FJI,2000,24.34,423305,409203,832509,21.1,0.681,10.99824794,47.908,6.457,517225.0,26593.0,,66.31,2.63133216,,94.817182547085,43.1,42.0,1.09752051437681,35.401,2015.85749571271,48.301454290413346
47,France,FRA,2000,13.3,29550671,31370713,60921384,36.8,0.844,16.07573118,75.871,8.9,39677855.0,9841925.0,40.3791190648101,79.0560975609756,6.97070313,,99.999998548443,14.1,79.0,0.686782586857032,43.086,22416.425417915,40.49392782937325
48,Gabon,GAB,2000,33.471,633381,639553,1272935,18.2,0.635,37.1754755,78.879,10.002,690305.0,61597.0,,61.069,1.06383789,,80.4033637747278,30.0,28.0,2.55979388649606,30.789,3991.15715141003,42.60675611969916
49,United Kingdom,GBR,2000,11.5,28695232,30197282,58892514,36.6,0.862,14.85608116,78.651,10.3,38411614.0,9257268.0,,77.7414634146342,5.50688028,,100.0,16.5,72.0,0.357300887421605,51.563,28280.926786099,40.68162239538328
50,Georgia,GEO,2000,11.979,1896863,2180268,4077131,32.4,0.702,17.21162364,52.638,11.188,2640414.0,485897.0,,69.575,0.82085949,,94.5605847174906,30.0,47.0,-1.9446291567975,49.375,749.908534993961,43.43037867016484
51,Ghana,GHA,2000,35.865,9759725,9905777,19665502,17.1,0.507,60.34547396,43.929,9.922,10722997.0,628035.0,,58.195,0.77568001,,65.2185051906446,23.8,24.0,2.51651873851715,64.836,253.380293175761,45.410264131728425
52,Guinea,GIN,2000,41.642,4109599,4227368,8336967,16.3,0.345,53.0035338,30.869,14.804,4245301.0,334304.0,,52.479,0.30125162,,50.020186832808,22.4,16.0,1.96313638467112,60.551,359.286670018273,40.63231542652543
