,Country Code,Year,Life_expectancy_in_years
443,NOR,2001,78.7853658536585
444,NPL,2001,63.336
445,NRU,2001,58.278
446,NZL,2001,78.6926829268293
447,OED,2001,77.2034412595573
448,OMN,2001,73.808
449,OSS,2001,60.3998195489602
450,PAK,2001,62.421
451,PAN,2001,74.414
452,PER,2001,71.041
453,PHL,2001,69.614
454,PLW,2001,0.0
455,PNG,2001,61.773
456,POL,2001,74.2
457,PRE,2001,51.9215614271429
458,PRI,2001,76.456
459,PRK,2001,60.745
460,PRT,2001,76.8146341463415
461,PRY,2001,69.9
462,PSE,2001,69.887
463,PSS,2001,67.4120451768642
464,PST,2001,77.6440337386382
465,PYF,2001,79.685
466,QAT,2001,75.263
467,ROU,2001,71.1609756097561
468,RUS,2001,65.3834146341463
469,RWA,2001,49.021
470,SAS,2001,63.3037073531154
471,SAU,2001,72.974
472,SDN,2001,58.562
473,SEN,2001,57.564
474,SGP,2001,78.2512195121951
475,SLB,2001,67.364
476,SLE,2001,45.661
477,SLV,2001,69.598
478,SMR,2001,0.0
479,SOM,2001,50.74
480,SRB,2001,72.2341463414634
481,SSA,2001,51.5337626313284
482,SSD,2001,46.881
483,SSF,2001,51.5363218250062
484,SST,2001,62.8934438194637
485,STP,2001,62.032
486,SUR,2001,65.482
487,SVK,2001,73.4024390243903
488,SVN,2001,75.7585365853659
489,SWE,2001,79.7951219512195
490,SWZ,2001,45.975
491,SXM,2001,74.522
492,SYC,2001,73.2536585365854
493,SYR,2001,71.644
494,TCA,2001,74.131
495,TCD,2001,47.85
496,TEA,2001,71.2883826478195
497,TEC,2001,68.555882691225
498,TGO,2001,54.86
499,THA,2001,72.613
500,TJK,2001,64.057
501,TKM,2001,65.156
502,TLA,2001,71.3382890766088
503,TLS,2001,59.362
504,TMN,2001,68.9637362403083
505,TON,2001,69.127
506,TSA,2001,63.3037073531154
507,TSS,2001,51.5363218250061
508,TTO,2001,69.646
509,TUN,2001,73.816
510,TUR,2001,72.231
511,TUV,2001,63.543
512,TZA,2001,53.161
513,UGA,2001,49.006
514,UKR,2001,67.8370731707317
515,UMC,2001,70.9514995940289
516,URY,2001,75.285
517,USA,2001,76.8365853658537
518,UZB,2001,66.087
519,VCT,2001,71.938
520,VEN,2001,71.201
521,VGB,2001,73.846
522,VIR,2001,77.6219512195122
523,VNM,2001,72.647
524,VUT,2001,69.037
525,WLD,2001,68.0522403020675
526,WSM,2001,71.019
527,XKX,2001,74.394
528,YEM,2001,63.222
529,ZAF,2001,57.261
530,ZMB,2001,46.019
531,ZWE,2001,41.957
532,ABW,2002,73.726
533,AFE,2002,52.540794004192
534,AFG,2002,56.454
535,AFW,2002,50.9278483335328
536,AGO,2002,47.386
537,ALB,2002,75.89
538,AND,2002,0.0
539,ARB,2002,67.9355701632582
540,ARE,2002,74.901
541,ARG,2002,74.408
542,ARM,2002,71.018
543,ASM,2002,0.0
544,ATG,2002,75.536
545,AUS,2002,79.9365853658537
546,AUT,2002,78.6780487804878
547,AZE,2002,66.239
548,BDI,2002,49.891
549,BEL,2002,78.0756097560976
550,BEN,2002,56.606
551,BFA,2002,51.272
552,BGD,2002,66.612
553,BGR,2002,71.8658536585366
554,BHR,2002,76.088
555,BHS,2002,72.232
556,BIH,2002,74.612
557,BLR,2002,68.0560975609756
558,BLZ,2002,68.752
559,BMU,2002,80.631
560,BOL,2002,63.306
561,BRA,2002,70.41
562,BRB,2002,74.366
563,BRN,2002,74.426
564,BTN,2002,64.078
565,BWA,2002,50.632
566,CAF,2002,45.409
567,CAN,2002,79.5307317073171
568,CEB,2002,73.2424154880921
569,CHE,2002,80.3853658536585
570,CHI,2002,78.906
571,CHL,2002,77.445
572,CHN,2002,72.985
573,CIV,2002,50.886
574,CMR,2002,53.415
575,COD,2002,52.333
576,COG,2002,55.088
577,COL,2002,71.939
578,COM,2002,59.056
579,CPV,2002,70.705
580,CRI,2002,77.983
581,CSS,2002,69.9700669387854
582,CUB,2002,76.612
583,CUW,2002,73.2115365853659
584,CYM,2002,0.0
585,CYP,2002,77.487
586,CZE,2002,75.2219512195122
587,DEU,2002,78.2292682926829
588,DJI,2002,57.215
589,DMA,2002,72.34
590,DNK,2002,76.8951219512195
591,DOM,2002,69.923
592,DZA,2002,71.23
593,EAP,2002,71.5001923568857
594,EAR,2002,65.2226549082517
595,EAS,2002,72.4501596339701
596,ECA,2002,67.8388759216773
597,ECS,2002,73.5029038659978
598,ECU,2002,73.613
599,EGY,2002,68.564
600,EMU,2002,78.6821261833129
601,ERI,2002,58.811
602,ESP,2002,79.5682926829268
603,EST,2002,70.9048780487805
604,ETH,2002,51.517
605,EUU,2002,77.531003298642
606,FCS,2002,56.1425499387283
607,FIN,2002,78.119512195122
608,FJI,2002,65.748
609,FRA,2002,79.2609756097561
610,FRO,2002,78.8439024390244
611,FSM,2002,69.46
612,GAB,2002,61.292
613,GBR,2002,78.1439024390244
614,GEO,2002,70.024
615,GHA,2002,58.608
616,GIB,2002,80.26
617,GIN,2002,53.278
618,GMB,2002,57.08
619,GNB,2002,50.986
620,GNQ,2002,54.085
621,GRC,2002,78.6414634146341
622,GRD,2002,73.167
623,GRL,2002,67.1529268292683
624,GTM,2002,68.386
625,GUM,2002,75.793
626,GUY,2002,64.728
627,HIC,2002,77.9121078412331
628,HKG,2002,81.4268292682927
629,HND,2002,69.366
630,HPC,2002,53.6299965169525
631,HRV,2002,74.7173170731707
632,HTI,2002,58.855
633,HUN,2002,72.3487804878049
634,IBD,2002,68.9875853336328
635,IBT,2002,66.407507010969
636,IDA,2002,57.4245658995831
637,IDB,2002,56.3822425571283
638,IDN,2002,67.134
639,IDX,2002,57.9471816023942
640,IMN,2002,75.42
641,IND,2002,63.616
642,INX,2002,0.0
643,IRL,2002,77.6341463414634
644,IRN,2002,70.445
645,IRQ,2002,67.084
646,ISL,2002,80.5024390243903
647,ISR,2002,79.4512195121951
648,ITA,2002,80.2292682926829
649,JAM,2002,70.888
650,JOR,2002,72.359
651,JPN,2002,81.6907317073171
652,KAZ,2002,65.95
653,KEN,2002,54.99
654,KGZ,2002,68.1560975609756
655,KHM,2002,61.226
656,KIR,2002,64.84
657,KNA,2002,70.452
658,KOR,2002,76.7658536585366
659,KWT,2002,76.982
660,LAC,2002,71.536991087633
661,LAO,2002,59.534
662,LBN,2002,75.064
663,LBR,2002,53.788
664,LBY,2002,71.004
665,LCA,2002,71.472
666,LCN,2002,71.8368420199417
667,LDC,2002,56.748222832941
668,LIC,2002,54.2138092338243
669,LIE,2002,79.6365853658537
670,LKA,2002,71.117
671,LMC,2002,63.1947338151646
672,LMY,2002,66.2443009218683
673,LSO,2002,45.595
674,LTE,2002,71.9214452531973
675,LTU,2002,71.7609756097561
676,LUX,2002,77.9658536585366
677,LVA,2002,70.9609756097561
678,MAC,2002,81.293
679,MAF,2002,77.031
680,MAR,2002,67.547
681,MCO,2002,0.0
682,MDA,2002,66.938
683,MDG,2002,58.892
684,MDV,2002,73.291
685,MEA,2002,69.9765924524349
686,MEX,2002,74.106
687,MHL,2002,63.719
688,MIC,2002,67.2668252688741
689,MKD,2002,73.0390243902439
690,MLI,2002,52.222
691,MLT,2002,78.7390243902439
692,MMR,2002,60.725
693,MNA,2002,69.3260675196513
694,MNE,2002,73.9064878048781
695,MNG,2002,63.518
696,MNP,2002,0.0
697,MOZ,2002,50.59
698,MRT,2002,61.268
699,MUS,2002,71.9658536585366
700,MWI,2002,47.221
701,MYS,2002,73.563
702,NAC,2002,77.1922992714978
703,NAM,2002,51.254
704,NCL,2002,75.1024390243903
705,NER,2002,50.562
706,NGA,2002,47.928
707,NIC,2002,67.18
708,NLD,2002,78.2926829268293
709,NOR,2002,78.9878048780488
710,NPL,2002,63.264
711,NRU,2002,58.181
712,NZL,2002,78.8463414634146
713,OED,2002,77.3786986556008
714,OMN,2002,73.869
715,OSS,2002,60.4283508064141
716,PAK,2002,62.626
717,PAN,2002,74.824
718,PER,2002,71.661
719,PHL,2002,69.781
720,PLW,2002,0.0
721,PNG,2002,61.698
722,POL,2002,74.4975609756098
723,PRE,2002,52.3681161355009
724,PRI,2002,76.728
725,PRK,2002,60.792
726,PRT,2002,77.0658536585366
727,PRY,2002,70.025
728,PSE,2002,70.969
729,PSS,2002,67.2052661088637
730,PST,2002,77.7959890213592
731,PYF,2002,79.711
732,QAT,2002,75.412
733,ROU,2002,71.009756097561
734,RUS,2002,65.1287804878049
735,RWA,2002,51.032
736,SAS,2002,63.7715296382315
737,SAU,2002,73.337
738,SDN,2002,58.976
739,SEN,2002,58.231
740,SGP,2002,78.5512195121951
741,SLB,2002,67.515
742,SLE,2002,46.359
743,SLV,2002,70.232
744,SMR,2002,0.0
745,SOM,2002,50.731
746,SRB,2002,72.2853658536585
747,SSA,2002,51.8890711484619
748,SSD,2002,47.492
749,SSF,2002,51.891342436414
750,SST,2002,62.9410580527187
751,STP,2002,62.6
752,SUR,2002,65.531
753,SVK,2002,73.6048780487805
754,SVN,2002,76.0073170731707
755,SWE,2002,79.8463414634146
756,SWZ,2002,44.486
757,SXM,2002,74.858
758,SYC,2002,71.0878048780488
759,SYR,2002,71.939
760,TCA,2002,75.54
761,TCD,2002,47.946
762,TEA,2002,71.6386767670973
763,TEC,2002,68.650378485346
764,TGO,2002,55.311
765,THA,2002,72.93
766,TJK,2002,64.846
767,TKM,2002,65.385
768,TLA,2002,71.6941326160221
769,TLS,2002,60.148
770,TMN,2002,69.3087484886951
771,TON,2002,69.335
772,TSA,2002,63.7715296382315
773,TSS,2002,51.891342436414
774,TTO,2002,70.488
775,TUN,2002,74.059
776,TUR,2002,72.579
777,TUV,2002,63.58
778,TZA,2002,53.863
779,UGA,2002,49.648
780,UKR,2002,68.2756097560976
781,UMC,2002,71.2185603797413
782,URY,2002,75.54
783,USA,2002,76.9365853658537
784,UZB,2002,66.604
785,VCT,2002,72.168
786,VEN,2002,72.662
787,VGB,2002,73.891
788,VIR,2002,77.5219512195122
789,VNM,2002,72.801
