,economy,Year,population_growth_rate
411,LVA,2001,-1.29148694354873
677,LVA,2002,-1.1618382239436
943,LVA,2003,-0.966400801237561
1209,LVA,2004,-1.09131295557421
1475,LVA,2005,-1.08057145691172
1741,LVA,2006,-0.91727295748817
2007,LVA,2007,-0.816175506582982
2273,LVA,2008,-1.0509395443743
2539,LVA,2009,-1.65102496759116
2805,LVA,2010,-2.08130508988111
3071,LVA,2011,-1.82076700208005
3337,LVA,2012,-1.24035915329271
3603,LVA,2013,-1.07103480329077
3869,LVA,2014,-0.941743354234222
4135,LVA,2015,-0.818626340945853
4401,LVA,2016,-0.913885332226604
4667,LVA,2017,-0.886215573292392
4933,LVA,2018,-0.779138396192231
5199,LVA,2019,-0.695239140136066
5465,LVA,2020,-0.701211570733301
5731,LVA,2021,-0.843294678005026
146,MAC,2000,1.4877568229253
412,MAC,2001,1.65924602742688
678,MAC,2002,2.3725582288621
944,MAC,2003,2.8215044674889
1210,MAC,2004,2.77099628005097
1476,MAC,2005,2.71551761234388
1742,MAC,2006,2.67441293965373
2008,MAC,2007,2.64802980741037
2274,MAC,2008,2.62527907737455
2540,MAC,2009,2.60877302924839
2806,MAC,2010,2.5950318244663
3072,MAC,2011,2.42961521187371
3338,MAC,2012,2.0391269983749
3604,MAC,2013,1.80391580287387
3870,MAC,2014,1.80257581895543
4136,MAC,2015,1.81601604156179
4402,MAC,2016,1.84379989293183
4668,MAC,2017,1.88435643808871
4934,MAC,2018,1.92034437176829
5200,MAC,2019,1.92636052888412
5466,MAC,2020,1.88522049742858
5732,MAC,2021,1.51504486448614
147,MAF,2000,1.74083327876863
413,MAF,2001,2.59027432592699
679,MAF,2002,2.51203356297776
945,MAF,2003,2.43794667244693
1211,MAF,2004,2.37686428482674
1477,MAF,2005,2.28282449439949
1743,MAF,2006,2.16168689426467
2009,MAF,2007,2.03858225170899
2275,MAF,2008,1.85726926617157
2541,MAF,2009,1.64919396468654
2807,MAF,2010,0.898201382313273
3073,MAF,2011,-0.296670913120137
3339,MAF,2012,-0.89533039781617
3605,MAF,2013,-1.0800356153793
3871,MAF,2014,-1.06630065312841
4137,MAF,2015,-0.685821045858366
4403,MAF,2016,-0.59858980697911
4669,MAF,2017,-0.909005350138279
4935,MAF,2018,-1.88452934786726
5201,MAF,2019,-2.18305595098921
5467,MAF,2020,-1.72979919917872
5733,MAF,2021,-1.87599492510377
148,MAR,2000,1.33056292746569
414,MAR,2001,1.30709067761953
680,MAR,2002,1.27670558488657
946,MAR,2003,1.21926266518875
1212,MAR,2004,1.2458784781145
1478,MAR,2005,1.31905268782034
1744,MAR,2006,1.30947924386268
2010,MAR,2007,1.28772191974814
2276,MAR,2008,1.28003720148764
2542,MAR,2009,1.28110624620562
2808,MAR,2010,1.30835154510463
3074,MAR,2011,1.34266554348538
3340,MAR,2012,1.35377246657382
3606,MAR,2013,1.34423384293623
3872,MAR,2014,1.3080629397791
4138,MAR,2015,1.25305827289905
4404,MAR,2016,1.22317023430594
4670,MAR,2017,1.1916294240897
4936,MAR,2018,1.1178970270223
5202,MAR,2019,1.04358412669917
5468,MAR,2020,1.05316017914606
5734,MAR,2021,1.05148431222073
149,MCO,2000,0.218936549624527
415,MCO,2001,-0.0647059752351783
681,MCO,2002,-0.178929555681925
947,MCO,2003,-0.216376703381685
1213,MCO,2004,-0.24786231551975
1479,MCO,2005,-0.295136676013591
1745,MCO,2006,-0.405287997089734
2011,MCO,2007,-0.589029493886293
2277,MCO,2008,0.122477835833443
2543,MCO,2009,1.6775209368822
2809,MCO,2010,2.36977191505581
3075,MCO,2011,2.28545620835272
3341,MCO,2012,2.19981191992032
3607,MCO,2013,2.06780986239305
3873,MCO,2014,1.91520497126224
4139,MCO,2015,1.78404621981199
4405,MCO,2016,0.842469530267675
4671,MCO,2017,-0.0728597482140499
4937,MCO,2018,-0.0405005878121066
5203,MCO,2019,0.0135020185722688
5469,MCO,2020,-0.302883026724653
5735,MCO,2021,-0.641236845621864
150,MDA,2000,-0.203371722054682
416,MDA,2001,-0.223625637302563
682,MDA,2002,-0.231580062051396
948,MDA,2003,-0.281602495320467
1214,MDA,2004,-0.247447154059097
1480,MDA,2005,-0.243318711825946
1746,MDA,2006,-0.277922768195992
2012,MDA,2007,-0.231718324871942
2278,MDA,2008,-0.190349156188775
2544,MDA,2009,-0.12626339171085
2810,MDA,2010,-0.0998329740168972
3076,MDA,2011,-0.0578362648793712
3342,MDA,2012,-0.0131095435392298
3608,MDA,2013,-0.0267837694756349
3874,MDA,2014,-0.0609720602101012
4140,MDA,2015,-0.767049559673864
4406,MDA,2016,-1.16302237797705
4672,MDA,2017,-1.72705846625605
4938,MDA,2018,-1.75700442074845
5204,MDA,2019,-1.60031653578231
5470,MDA,2020,-1.09803165876287
5736,MDA,2021,-0.759232259187156
151,MDG,2000,3.03990100767654
417,MDG,2001,2.99623070466098
683,MDG,2002,2.96156859041379
949,MDG,2003,2.93341631578179
1215,MDG,2004,2.9270346495312
1481,MDG,2005,2.92328568439833
1747,MDG,2006,2.92675246207207
2013,MDG,2007,2.92652452166253
2279,MDG,2008,2.91149152987358
2545,MDG,2009,2.8994727895916
2811,MDG,2010,2.86594914827117
3077,MDG,2011,2.80016501090231
3343,MDG,2012,2.72814099743688
3609,MDG,2013,2.67158913972617
3875,MDG,2014,2.6271377711217
4141,MDG,2015,2.58818714317603
4407,MDG,2016,2.58601148442291
4673,MDG,2017,2.58416485189804
4939,MDG,2018,2.55407704067255
5205,MDG,2019,2.52531662828285
5471,MDG,2020,2.48242289292055
5737,MDG,2021,2.41686937370051
152,MDV,2000,1.56830144656694
418,MDV,2001,1.69071698288354
684,MDV,2002,1.71154334670149
950,MDV,2003,1.67668598570671
1216,MDV,2004,1.63811451653174
1482,MDV,2005,1.60324404314335
1748,MDV,2006,2.37628634213334
2014,MDV,2007,3.35435582926146
2280,MDV,2008,3.55228895579949
2546,MDV,2009,3.54422447127984
2812,MDV,2010,3.52915551848168
3078,MDV,2011,3.49620875437484
3344,MDV,2012,3.43849123867636
3610,MDV,2013,3.3466404024458
3876,MDV,2014,3.91748340604239
4142,MDV,2015,4.42253409157761
4408,MDV,2016,4.19690422374828
4674,MDV,2017,3.92628779480377
4940,MDV,2018,3.59964034794787
5206,MDV,2019,2.96723053964137
5472,MDV,2020,1.94913457153784
5738,MDV,2021,1.35517739152214
153,MEA,2000,2.08773003994465
419,MEA,2001,2.07271828810578
685,MEA,2002,1.90969464876973
951,MEA,2003,1.87626805263244
1217,MEA,2004,2.00742586120907
1483,MEA,2005,2.13731550749519
1749,MEA,2006,2.30535811177926
2015,MEA,2007,2.39657756081817
2281,MEA,2008,2.41548556726895
2547,MEA,2009,2.37665270740897
2813,MEA,2010,2.22565311542333
3079,MEA,2011,2.02206417060997
3345,MEA,2012,1.98802437628373
3611,MEA,2013,2.09428576258807
3877,MEA,2014,2.09895253323971
4143,MEA,2015,2.04832511865654
4409,MEA,2016,1.90937852574984
4675,MEA,2017,1.77495388689637
4941,MEA,2018,1.7921348457981
5207,MEA,2019,1.74774206115254
5473,MEA,2020,1.42959607452869
5739,MEA,2021,1.29205102332017
154,MEX,2000,1.58455078746177
420,MEX,2001,1.54194113014521
686,MEX,2002,1.52045522318023
952,MEX,2003,1.48740053113001
1218,MEX,2004,1.4696529746789
1484,MEX,2005,1.42951167105736
1750,MEX,2006,1.36053857389621
2016,MEX,2007,1.31623681916458
2282,MEX,2008,1.26753574174522
2548,MEX,2009,1.23674369230562
2814,MEX,2010,1.32657895725526
3080,MEX,2011,1.4276397653994
3346,MEX,2012,1.39661546186197
3612,MEX,2013,1.317160792789
3878,MEX,2014,1.2414667155537
4144,MEX,2015,1.16700884975484
4410,MEX,2016,1.13323428792033
4676,MEX,2017,1.08042073770937
4942,MEX,2018,0.951668643927897
5208,MEX,2019,0.860265089734684
